SR,SKU,Name,Address,Phone,Category,URL,Serves Beer,Serves Breakfast,Serves Brunch,Serves Dinner,Serves Lunch,Serves Vegetarian Food,Serves Wine,Takeout,Delivery,Dine In,Business Status,Rating,User Ratings Total,Latitude,Longitude
1,,Taste237,"RFPM+6VM, Yaoundé, Cameroon",6 91 00 51 61,"- restaurant
- point_of_interest
- food
- establishment",https://maps.google.com/?cid=7507870963611152099,True,False,False,True,True,False,True,True,False,True,OPERATIONAL,4.3,4,3.8355803,11.4846575
2,,Africrea,"VGR6+HP6, Yaoundé, Cameroon",6 99 25 16 21,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=5644456105125558905,True,False,False,True,True,False,False,True,False,True,OPERATIONAL,4.1,29,3.8914147,11.5117638
3,,Les Délices d'Alvine,"RFG9+96V Mendong, Yaoundé, Cameroon",6 55 72 57 12,"- bakery
- food
- store
- point_of_interest
- establishment",https://maps.google.com/?cid=12192884482644085332,False,False,False,False,False,False,False,True,True,False,OPERATIONAL,0,0,3.825996299999999,11.4680333
4,,Le Banquet,"RGFP+G7V 650502510, Yaoundé, Cameroon",6 50 60 25 10,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=534442720926462748,True,False,False,True,True,False,False,True,True,True,OPERATIONAL,0,0,3.823858399999999,11.5356779
5,,ELSE BURGER,"Fabrique Ngousso, Yaoundé, Cameroon",6 55 54 54 01,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=9222975315313128651,True,False,False,True,True,True,True,True,True,True,OPERATIONAL,4,51,3.9005212,11.5470927
6,,ACE FOOD WELLNESS CENTER,"Nsam, Yaoundé, Cameroon",6 75 03 37 92,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=16826581024858808188,True,True,False,True,True,False,True,True,True,True,OPERATIONAL,4.1,14,3.8315298,11.5106088
7,,THE BEST CAFE LA NATURE,"QFWV+3G6, Yaoundé, Cameroon",6 51 45 16 79,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=5031018484681702671,True,False,False,True,True,False,False,True,False,True,OPERATIONAL,4,1,3.795425099999999,11.4937661
8,,Les délices de Malika,"Ekounou 690223274, Yaoundé, Cameroon",6 90 22 32 74,"- restaurant
- point_of_interest
- food
- establishment",https://maps.google.com/?cid=18417824222016078747,True,False,False,False,True,False,False,True,True,True,OPERATIONAL,4.7,6,3.8435794,11.5340627
9,,BOULANGERIE PAIN D'OR,"VH96+97G, Yaoundé, Cameroon",6 77 60 40 84,"- bakery
- point_of_interest
- store
- food
- establishment",https://maps.google.com/?cid=16710808242305900623,False,True,False,False,False,False,False,True,True,False,OPERATIONAL,3.7,74,3.8684436,11.5607077
10,,Diddys Cakes n Headwears,"Entree Simbock, Yaoundé, Cameroon",6 67 86 15 70,"- bakery
- food
- point_of_interest
- store
- establishment",https://maps.google.com/?cid=953004612341705842,False,False,False,False,False,False,False,True,True,False,OPERATIONAL,5,1,3.8316333,11.4704494
11,,African restaurant,"VGGC+M47, Yaoundé, Cameroon",,"- restaurant
- point_of_interest
- food
- establishment",https://maps.google.com/?cid=15456218798207606995,False,False,False,True,True,False,False,False,False,True,OPERATIONAL,0,0,3.8766707,11.5202969
12,,Help moi,"Dragage, Yaoundé, Cameroon",6 91 79 72 71,"- restaurant
- point_of_interest
- food
- establishment",https://maps.google.com/?cid=9931207236026576980,False,False,False,False,False,False,False,True,True,False,OPERATIONAL,0,0,3.8992106,11.5173264
13,,MBOPPI RESTAURANT ✅️,"Nouvelle route tam-tam, Yaoundé, Cameroon",6 89 38 85 86,"- restaurant
- point_of_interest
- food
- establishment",https://maps.google.com/?cid=3612923480855046077,True,False,False,True,True,False,False,True,True,True,OPERATIONAL,2.8,5,3.8293917,11.482497
14,,Promising Dream Savour Restaurant,"Yaoundé, Cameroon",6 90 85 76 68,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=10581822067175606583,False,False,False,False,True,False,False,True,True,True,OPERATIONAL,5,2,3.8351579,11.4866048
15,,La Croissanterie,"3 Entrée de la ville, Yaoundé, Cameroon",6 90 31 21 98,"- bakery
- meal_takeaway
- restaurant
- point_of_interest
- store
- food
- establishment",https://maps.google.com/?cid=1336573571240726205,True,True,False,True,True,True,False,True,False,True,OPERATIONAL,4,1,3.848031999999999,11.502075
16,,Ma Julie Bar,"RFPP+574, Yaoundé, Cameroon",,"- bar
- point_of_interest
- establishment",https://maps.google.com/?cid=10042738038744868838,True,False,False,False,False,False,False,False,False,True,OPERATIONAL,5,1,3.8353812,11.4857058
17,,"PIZZA ROMA, Yaoundé","Rue Joseph Mballa Eloumden, Yaoundé, Cameroon",6 99 33 33 33,"- restaurant
- point_of_interest
- food
- establishment",https://maps.google.com/?cid=2717384818849842485,True,True,False,True,True,False,True,True,True,True,OPERATIONAL,3.3,169,3.8926548,11.511262
18,,Istanbul Turkish Restaurant,"Restaurant Turc Istanbul, 33088 Rue Joseph Mballa Eloumden, Yaoundé, Cameroon",6 72 98 15 85,"- restaurant
- point_of_interest
- food
- establishment",https://maps.google.com/?cid=10246887096699052249,False,True,True,True,True,True,False,True,True,True,OPERATIONAL,4,1383,3.8920228,11.5123073
19,,Aux goûts d’Afrique,"237651756403, 237697229927, Yaoundé, Cameroon",6 97 22 99 27,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=13227506997581188495,True,False,False,True,True,False,True,True,True,True,OPERATIONAL,3.2,11,3.8384676,11.4752546
20,,OLYMPIA SNACK BAR LOUNGE 237,"montee jouvence, Yaoundé, Cameroon",6 98 04 51 63,"- bar
- point_of_interest
- establishment",https://maps.google.com/?cid=11397184655482335936,True,False,False,False,False,False,True,True,False,True,OPERATIONAL,3.8,910,3.8297881,11.4807178
21,,Sims snack bar restaurant,"Yaoundé, Cameroon",6 70 50 35 26,"- bar
- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=16554225299551816990,True,False,False,True,True,False,True,True,True,True,OPERATIONAL,4.4,71,3.8522391,11.481133
22,,Elle & Moi Restaurant,"Route de la mission Catholique, Yaoundé, Cameroon",6 76 01 38 54,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=18429256889586507914,False,True,False,True,True,False,False,True,True,True,OPERATIONAL,2,1,3.8775491,11.5099928
23,,"Restaurant Fonction Publique, Yaoundé","VG86+WM4, Yaoundé, Cameroon",,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=12246828529485235641,True,True,False,True,True,False,False,True,False,True,OPERATIONAL,4.5,8,3.8672626,11.5116951
24,,Garden food,"WGFP+32, Yaoundé, Cameroon",6 75 41 34 55,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=11782577038181518473,True,False,False,True,True,False,False,True,True,True,OPERATIONAL,4,2,3.922633599999999,11.5350658
25,,le 18eme Bar VIP,"RFPP+35R, Yaoundé, Cameroon",,"- bar
- point_of_interest
- establishment",https://maps.google.com/?cid=13986019367136447692,True,False,False,False,False,False,True,False,False,True,OPERATIONAL,4.6,5,3.8352253,11.4853815
26,,AN-NOUR chicken,"VGG4+MMV, Yaoundé, Cameroon",6 98 00 08 62,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=1002803184970228157,False,False,False,False,False,False,False,True,False,False,OPERATIONAL,4.5,2,3.8767386,11.5066606
27,,Poissonnerie Congelcam Messassi,"WGV8+6JV, Yaoundé, Cameroon",,"- food
- point_of_interest
- store
- establishment",https://maps.google.com/?cid=1173962430677211690,False,False,False,False,False,False,False,False,True,False,OPERATIONAL,3.1,15,3.9431134,11.5165384
28,,MARCO FUFU,"Tam tam, Yaoundé, Cameroon",6 51 63 92 62,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=11870722721145395141,True,False,False,True,True,False,True,True,True,True,OPERATIONAL,4.4,90,3.832868699999999,11.4887892
29,,Dr Glace,"Coron, Yaoundé, Cameroon",6 59 28 75 05,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=8887138286957092608,False,False,False,False,False,False,False,True,True,True,OPERATIONAL,4.5,4,3.845096399999999,11.5187912
30,,Twoseasons food,"VG6C+M3H, Yaoundé, Cameroon",,"- restaurant
- food
- point_of_interest
- establishment",https://maps.google.com/?cid=12077919792864691364,False,False,False,False,False,False,False,False,False,False,OPERATIONAL,0,0,3.861685300000001,11.5202292
31,,Pizzeria Glacier Grill Dolcezza,"à côté du socrate, Nv Rte Bastos, Yaoundé, Cameroon",6 58 59 77 55,"- restaurant
- point_of_interest
- store
- food
- establishment",https://maps.google.com/?cid=5149575885301337766,False,True,True,True,True,True,True,True,True,True,OPERATIONAL,4.5,644,3.8866125,11.5041972
32,,Calafatas,"Rue De Nachtigal, Yaoundé, Cameroon",2 22 23 17 29,"- bakery
- food
- point_of_interest
- store
- establishment",https://maps.google.com/?cid=18015357971589317261,False,True,False,False,False,False,False,True,True,True,OPERATIONAL,3.7,2113,3.8713575,11.5174798
33,,Le BACCHUS PLUS Yaoundé,"VGHG+384, Yaoundé, Cameroon",6 92 49 14 66,"- restaurant
- point_of_interest
- food
- establishment",https://maps.google.com/?cid=12544331510287882145,True,True,True,True,True,False,True,True,True,True,OPERATIONAL,4.4,175,3.877638499999999,11.5258211
